__id__,constant,createdAt,development,isFavorite,name,options,tagsType
09Q2FEVzWlOBc5AqoypO,,,communities,,Physical disability,,
0K056vFlG4lgFLUxFGQ3,true,,career,,#networking,,
1ftOIFPCg2uPchcfecW0,true,,self,,#confidence,,
20fXkU9RdlTlpfcS5K5D,,,socioeconomic,,All backgrounds,,
2Bhal1Eyn4bfN719dFdM,true,,industry,,#media,,
2Dhp3LeTBZqgTedOOPMT,true,,pronoun,,#ForThem,,
2OKsPtBRoqvFJQEkA9XU,true,,worklife,true,#advice,,
2YMJoKoU41yC7sCleDnd,,,industry,,#Social media,,
2cns8nlBY5ULpSj3yHBV,false,2021-03-16T16:43:54.724Z,perks,,#industry advice,,culture
38I250bSWDUG6sbheu4W,,,industry,,#Heritage,,
3RFE8LOp5gmRFKBnq3Y7,,,age,,21,,
48QfWZVY3tGgz9kyL9Pk,true,,self,,#creativity,,
4Ed3aFDBvrMHL53yYN4Z,,,сommunities,,Neurodiversity,,
4GA9aXfWR7L2e7qxE9sA,true,,,,#audio,,
4QlleWHve0nCgap7LNwH,true,,self,,#empathy,,
5DVAYnqALaoWe9H8w5eL,true,,self,,#mental health,,
5DySR20DRr5d0amV3LBX,false,2021-03-18T22:46:34.125Z,career,,#Society ,,
5HaU8j0qhkr55nMhkjD2,false,2021-02-07T09:04:29.071Z,career,,#production,,
5PSzhQ2e4SC6YgC9Tq19,,,age,,19,,
5TJS5TfdMsileqPdapNE,false,2021-03-16T15:03:49.665Z,Wellbeing,,#undefined,,culture
6Bj2Xtzi0uIWc8ZrTVtY,,,age,,Over 18,,
6Taxs6913hcNH2iB2Bw2,false,2021-03-17T11:47:08.189Z,worklife,,#creativeopportunities,,culture
6uk2bdRBxgB5SfEQgCiD,true,,,,#radio,,
7A2ervoL0MY4OO9n1I23,true,,,,#podcasting,,
7Djqoi7KVNFWqkG5Goy0,false,,industry,,#news,,
7NFcbDXSsKW4OJJboIN8,true,,ethnicity,,#Mixed,,
7P5Hf8CqYKW9Nh1RY5f8,true,,perks,,#unlimited holidays,,
7zcvW4rUaiE9OCqGAf8f,true,,industry,,#marketing,,
8EnwP2QmxphKt3xMydIv,true,2021-02-07T10:29:59.389Z,industry,,#acting,,
8PawTwYxdWzCJem74oS3,false,2021-02-07T10:33:35.570Z,career,,#writing,,
8oVouULyPluxVdnb1DJD,,,experience,,#someone looking to get work,,
92OxqHPOwpUDI765t62h,,,сommunities,,LGBTQIA+,,
9NzSPP9u3pslqzwc4FvH,false,2021-01-20T10:51:39.742Z,perks,,#Expert Tutors,,culture
9PvhMEDyZGUCTpqc91aQ,,,,,Have or had free school meals,,
9Q2h3tBc2SY9R0Rrppfw,true,,training,,#unconscious bias,,
9RIS1UCc8jBeQY9lOpwf,,,communities,,Neurodiversity,,
9Z0KCkg1UndKEeGsGRWF,true,,equality,,#accessibility,,
9n0uRhYXXrZCc6Uc0FaI,true,,,,#E-Sport,,
ASqOgcR8NFWSBTig54V4,false,2021-03-21T17:13:54.086Z,self,,#Music,,
AoY7K4WlLQC0hV2X0YvO,false,2021-03-02T10:59:48.379Z,Training,,##CareerDevelopment,,culture
AqYgiYDBCcvalinRr4PP,false,2021-01-01T13:53:26.419Z,perks,,#Laptop,,culture
Ar0PFRfo2BizErhHzOB1,true,,industry,,#directing,,
B00NlXT3BgZEcteyEBiQ,true,,industry,,#museum,,
BGHOxtT7mL635uaWX7Wd,,,pronoun,,He/Him,,
BSAM73pkE5akPm0aAWEi,true,,industry,,#fashion,,
BddunC7iDoCafkspkpoQ,false,2021-03-16T16:43:48.917Z,perks,,#remote learning,,culture
BqfXt7PgSC559RdiiT2w,,,communities,,Mental health,,
CG68CfUNdPkL8nJFzAih,true,,industry,,#theatre,,
CUWcWrtD4T98OQPuQMSE,false,2021-03-13T12:46:31.197Z,perks,,#adaptable ,,culture
CV02t8BX1lZ1teVZQpdM,true,,industry,,#dance,,
CXml82a20EADyZq4YWWY,true,2021-02-10T12:00:54.932Z,self,,#anxiety,,
Cfm3Qi6fKuYCnkrzNdqz,true,,career,true,#CV's & Portfolios,,
CiqzLSCDmRocXb3YzJdo,true,,,,#Visual Art,,
D1lmqQmbFCGTby8HNHuK,,,industry,,#Visual art,,
D8TZCPwER6lzJV3p1fmA,,,pronoun,,They/Them,,
DJpySi26fSa4NcoMUX8o,false,,industry,,#food & drink,,
DUK2DyQTTnvJXp83Cuuw,,,ethnicity,,"African, Caribbean or Black British",,
ECcuhaDvbapctsnxCbyE,false,2021-03-18T15:20:42.476Z,career,,#founders,,
EZ8pCPYQITDCvtAaLdGg,true,,career,,#portfolio advice,,
EnzIhbSJi60VWwmFjq6F,,,сommunities,,Carer,,
Fsupenr6EtZuhFXCUGAY,true,,career,true,#money & finance,,
FuXsrn6y678PVhrqgTZE,true,,career,,#side hustle,,
G71CaypSWxMSZ83yAKKZ,false,2021-03-16T15:04:46.268Z,Wellbeing,,#Illustration,,culture
G7JC7ai2vlXpZlh5PozG,true,,pronoun,,#ForHim,,
GjC6ilPu74QiVYRvRvgg,true,2021-02-07T16:57:25.949Z,industry,,#videography,,
H9gLcUeM65AkTEjk8IzH,true,,industry,,#music,,
HH7ZuqesVJkUEgyYa9nL,false,2021-03-21T17:13:54.086Z,self,true,#Interviews,,
